category,name,city,state,phone,email,business_type,company,has_website,notes,date_found
Lawyer/Attorney,Natoli & Associates,Taunton,MA,(508) 556-7020,,Personal Injury / Family Law / Criminal Defense,Natoli & Associates,Basic,"15+ years experience. Thomas F. Natoli. Taunton personal injury, criminal defense, family law, toxic mold cases. Free consultations.",2026-04-23
Lawyer/Attorney,Law Office of Alex Nesson,Taunton,MA,(508) 828-6540,,Criminal Defense / Family Law,Law Office of Alex Nesson,Basic,"Solo practitioner since 1995. Very outdated website (alexnesson.com). Bristol, Plymouth, Norfolk counties.",2026-04-23
Lawyer/Attorney,Law Offices of Gerald J. Noonan,Brockton,MA,(508) 588-0422,,Criminal Defense,Law Offices of Gerald J. Noonan,Basic,Criminal defense firm serving Plymouth County. Free consultations. Basic website.,2026-04-23
Lawyer/Attorney,Sousa & Sousa,Brockton,MA,(508) 230-5300,,Personal Injury / Accident,Sousa & Sousa,Basic,"Offices in Brockton, Easton, and Taunton. Plymouth, Bristol, Norfolk Counties. Basic website.",2026-04-23
Lawyer/Attorney,Brian Kaschel Attorney at Law,Stamford,CT,(203) 259-5251,,Divorce / Family Law,Brian Kaschel Law,Basic,Solo divorce and family law practitioner. Serves Fairfield County CT. Basic website.,2026-04-23
Lawyer/Attorney,Law Office of James M. Rubino,Stamford,CT,(203) 327-4212,,Business / Corporate Law,James M. Rubino Attorney,Basic,Solo business and corporate attorney. Sole proprietorships and LLCs. Basic site.,2026-04-23
Lawyer/Attorney,Law Offices of Daniel P. Weiner,Stamford,CT,(203) 348-5846,,Civil Litigation / Personal Injury,Daniel P. Weiner Law,Basic,"Small firm. Civil litigation, personal injury, business disputes. Free consultations.",2026-04-23
Lawyer/Attorney,The Pickel Law Firm,Stamford,CT,(203) 348-4100,,Personal Injury / Family Law,The Pickel Law Firm,Basic,Small firm in Stamford. Personal injury and family law representation. Basic website.,2026-04-23
Lawyer/Attorney,Fournier Law Firm,New Haven,CT,(203) 389-9500,,General Practice / Personal Injury,Fournier Law Firm,Basic,"Brian C. Fournier. Offices in New Haven and Waterbury. PI, real estate, criminal, juvenile law.",2026-04-23
Lawyer/Attorney,Law Offices of Raymond J. Antonacci,Waterbury,CT,(203) 721-7052,,Personal Injury / Bankruptcy,Raymond J. Antonacci LLC,Basic,"Small personalized firm in Waterbury. Personal injury, bankruptcy. Basic website.",2026-04-23
Lawyer/Attorney,Law Offices of Christopher J. Zangari,Warwick,RI,(401) 640-3823,,Real Estate / Business Law,Christopher J. Zangari Attorney,Basic,"Solo real estate and business litigation attorney. 935 Jefferson Blvd Warwick. Very outdated website.",2026-04-23
Lawyer/Attorney,Nelson Law Office,Cranston,RI,(401) 300-0101,,General Practice,Nelson Law Office,Basic,"General practice law firm. Civil and criminal cases. 37 Sockanosset Cross Rd Cranston RI 02920.",2026-04-23
Lawyer/Attorney,Murphy & Fay LLP,Providence,RI,(401) 490-3200,,Personal Injury / Criminal Defense,Murphy & Fay LLP,Basic,"Small firm with offices in Providence, West Warwick, South Kingstown. Basic website.",2026-04-23
Business,Mother's Daughter Juice + Wellness Bar,Brockton,MA,(508) 682-4228,,Juice Bar / Wellness,Mother's Daughter Juice + Wellness Bar,Basic,"543 Pearl St Brockton. Farm-to-table juice bar. Opened 2025. Basic website.",2026-04-23
Business,Poppa B's BBQ Soul,Roxbury,MA,(617) 283-7685,,BBQ / Soul Food Restaurant,Poppa B's BBQ Soul,Basic,"2306 Washington St Roxbury MA. Soul food and BBQ. Small restaurant, basic website.",2026-04-23
Business,RedRed Kitchen,Boston,MA,(617) 299-1905,,West African Restaurant,RedRed Kitchen,Basic,"2306 Washington St Boston. West African cuisine - jollof rice, turkey wings, okra stew. Basic site.",2026-04-23
Business,Carpe Diem Cafe,Norwalk,CT,(203) 286-6048,,Coffee Shop / Cafe,Carpe Diem Cafe,Basic,"520 West Ave Norwalk CT. Owner: Elvis Fernandez. Specialty coffee, Dominican dishes. New 2025.",2026-04-23
Business,Hard Knocks of Warwick,Warwick,RI,(401) 640-4900,Hardknockswarwick@gmail.com,Boxing Gym,Hard Knocks of Warwick,Basic,"905 Warwick Ave Warwick RI. Community boxing gym. Basic Wix-based website.",2026-04-23
Business,Anchored In Flesh Tattoo,Cranston,RI,(401) 383-3565,,Tattoo / Piercing Studio,Anchored In Flesh Piercings and Tattoos LLC,No,"8 Gansett Ave Cranston RI. 23 years experience. Facebook only, no real website. Cash only shop.",2026-04-23
Business,Details Barbershop,Cranston,RI,(401) 601-7000,,Barbershop,Details Barbershop,Basic,"935 Park Ave Cranston RI 02910. Basic website (detailsbarbershopri.com).",2026-04-23
Business,Premier Barbershop,Cranston,RI,(401) 339-2985,,Barbershop,Premier Barbershop,No,"86 Rolfe Sq Cranston RI. No website. Yelp and Facebook only.",2026-04-23
Business,Barber Ettes,Pawtucket,RI,(401) 727-0719,,Barbershop,Barber Ettes,No,"875 Central Ave Pawtucket RI 02861. No website. Yelp listing only.",2026-04-23
Business,City Hall Barber Salon,Cranston,RI,(401) 785-2370,,Barbershop,City Hall Barber Salon,No,"830 Park Ave Cranston RI 02910. No website. Yelp listing only.",2026-04-23
Business,The Classic Man Barbershop,Cranston,RI,(401) 781-2389,,Barbershop,The Classic Man Barbershop,No,"2216 Broad St Cranston RI 02905. No website. Yelp and Facebook only.",2026-04-23
Business,Creative Instincts Tattoo,Bridgeport,CT,(203) 384-2645,,Tattoo / Piercing Studio,Creative Instinkts Tattoo & Piercing,Basic,"138 Fairfield Ave Bridgeport CT. Basic website (creativeinstinkts.com).",2026-04-23
Business,Connecti-Cuts Hair Studio,Hartford,CT,(860) 547-0420,,Hair Salon,Connecti-Cuts Hair Studio,Basic,"Hartford CT. Hair salon with basic website (connecti-cuts.com).",2026-04-23
